This CSV provides information about the species in the NOAA CSL Inventory. There are some oddities that this sheet hopes to address.
Data for the NC files is downloaded from https://csl.noaa.gov/groups/csl7/measurements/2020covid-aqs/emissions/. There are a variety of species in these
NC files that are meant to correspond with one of the SAPRC mechanisms. Colin Harkins of NOAA stated that the naming conventions are more based on SAPRC99 than 
Other versions. However, the names, molecular weights, and existence of species is not uniform across SAPRC99 and SAPRC22 (most recent). This csv hopefully
Addresses that. 

Column descriptions below
NC_name: The name of the species in the NOAA CSL Inventory NC files
Readme_name: This is the mapping of NC_name to an SAPRC name as defined in https://csl.noaa.gov/groups/csl7/measurements/2020covid-aqs/data/emissions/FIVE/README.txt. However, not all these names correspond directly to SAPRC99 species
NC_unit: The unit in the attributes of the NC files for that species
NC_description: The description of the species in the NC files. These seem to match most closely with the SAPRC99 descriptions, but there are some differences
Known_MW: If the molecular weight is not in question (such as for trace gasses), there will be a value here and can be taken as "truth"
SAPRC99_Name: If there is an SAPRC99 species matching the name in the readme (or should obviously be matching based on description), this is the name of that species in the MechDB.xls, sheet SAPRC99, from https://intra.engr.ucr.edu/~carter/emitdb/
SAPRC99_MW: If there is an SAPRC99 species matching, this is the molecular weight in the MechDB.xls sheet
SAPRC99_Description: If there is an SAPRC99 species matching, this is the description of that species in the MechDB.xls sheet
SAPRC22_Name: If there is an SAPRC22 species matching the name in the readme (or should obviously be matching based on description), this is the name of that species in the MechDB.xls, sheet SAPRC22, from https://intra.engr.ucr.edu/~carter/emitdb/
SAPRC22_MW: If there is an SAPRC22 species matching, this is the molecular weight in the MechDB.xls sheet
SAPRC22_Description: If there is an SAPRC22 species matching, this is the description of that species in the MechDB.xls sheet

NC_name,Readme_name,NC_unit,NC_description,Known_MW,SAPRC99_Name,SAPRC99_MW,SAPRC99_Description,SAPRC22_Name,SAPRC22_MW,SAPRC22_Description, 
CO,CO,metric_Ton hr^-1 gridcell^-1,Carbon Monoxide,28.01,,,,,,, 
CO2,CO2,metric_Ton hr^-1 gridcell^-1,Carbon Dioxide,44.01,,,,,,, 
HC01,CH4,mole hr^-1 gridcell^-1,Methane,16.04,,,,,,, 
HC02,ALK1,mole hr^-1 gridcell^-1,Ethane+Alkanes with k(OH)< 500 ppm^-1-min^-1,,ALK1,30.07,"Alkanes and other non-aromatic compounds that react only with OH, and have kOH between 2 and 5 x 102 ppm-1 min-1.  (Primarily ethane)",ALK1,74.08,"Saturated compounds that react only with OH, and have kOH between 1.4e-13 and 3.5e-13 cm3 molec-1 s-1", 
HC03,ALK2,mole hr^-1 gridcell^-1,Alkanes with 500<k(OH)<2500 ppm^-1-min^-1 EXCLUDE(C3H8 C2H2 ethanol acids),,ALK2,36.73,"Alkanes and other non-aromatic compounds that react only with OH, and have kOH between 5 x 102 and 2.5 x 103 ppm-1 min-1. (Primarily propane and acetylene)",ALK2,88.11,Saturated compounds that have kOH between 3.5e-13 and 1.7e12 cm3 molec-1 s-1, 
HC04,ALK3,mole hr^-1 gridcell^-1,Alkanes with 2500<k(OH)<5000 ppm^-1-min^-1 EXCLUDE(butanes),,ALK3,58.61,"Alkanes and other non-aromatic compounds that react only with OH, and have kOH between 2.5 x 103 and 5 x 103 ppm-1 min-1.",ALK3,80.54,Saturated compounds that and have kOH between 1.7e-12 and 3.5e-12 cm3 molec-1 s-1, 
HC05,ALK4,mole hr^-1 gridcell^-1,Alkanes with 5000<k(OH)<10000 ppm^-1-min^-1 EXCLUDE(pentanes),,ALK4,77.6,"Alkanes and other non-aromatic compounds that react only with OH, and have kOH between 5 x 103 and 1 x 104 ppm-1 min-1.",ALK4,71.04,Saturated compounds that and have kOH between 3.5e-12 and 6.0e-12 cm3 molec-1 s-1, 
HC06,ALK5,mole hr^-1 gridcell^-1,Alkanes with k(OH)>10000 ppm^-1-min^-1 EXCLUDE(ethylene glycol),,ALK5,118.89,"Alkanes and other non-aromatic compounds that react only with OH, and have kOH greater than 1 x 104 ppm-1 min-1.",ALK5,96.98,Saturated compounds that and have kOH greater than 6.0e-12 cm3 molec-1 s-1 and have fewer than 12 carbons+oxygens., 
HC07,ETHENE,mole hr^-1 gridcell^-1,Ethylene,,ETHENE,28.05,Ethene,ETHEN,28.05,Ethylene, 
HC08,OLE1,mole hr^-1 gridcell^-1,Alkenes with k(OH)<20000 ppm^-1-min^-1,,OLE1,72.34,Alkenes (other than ethene) with kOH < 7x104 ppm-1 min-1.,OLE1,68.66,Alkenes other than ethene with kOH between 8e-12 and 6e-11, 
HC09,OLE2,mole hr^-1 gridcell^-1,Alkenes with k(OH)>20000 ppm^-1-min^-1 EXCLUDE(dienes and styrenes),,OLE2,75.78,Alkenes with kOH > 7x104 ppm-1 min-1.,OLE2,64.92,"Alkenes other than terpenes or 1,3-butadiene that have OH rate constants greater than 6e-12 cm3 molec-1 s-1.", 
HC10,ISOPRENE,mole hr^-1 gridcell^-1,Anthropogenic Isoprene,,ISOPRENE,68.12,Isoprene,ISOP,68.12,Isoprene, 
HC11,TRP1,mole hr^-1 gridcell^-1,Anthropogenic Terpenes (VCPs),,TRP1,136.24,Terpenes,TERP,136.23,Lumped terpenes (C10H16 and at least one ring and alkene group), 
HC12,ARO1,mole hr^-1 gridcell^-1,Aromatics with k(OH)<20000 ppm^-1-min^-1 EXCLUDE(benzene and toluene),,ARO1,95.16,Aromatics with kOH < 2x104 ppm-1 min-1.,ARO1,128.78,Alkylbenzenes that react with kOH between 5e-12 and 1e-11 cm3 molec-1 s-1. Mostly alkylbenzenes with only one substituent, 
HC13,ARO2,mole hr^-1 gridcell^-1,Aromatics with k(OH)<20000 ppm^-1-min^-1 EXCLUDE((xylenes),,ARO2,118.72,Aromatics with kOH > 2x104 ppm-1 min-1.,ARO2,126.42,Alkylbenzenes that react with kOH higher than 1e-11 cm3 molec-1 s-1. Mostly alkylbenzenes with more than one substituent, 
HC14,HCHO,mole hr^-1 gridcell^-1,Formaldehyde,,HCHO,30.03,Formaldehyde,HCHO,30.03,Formaldehyde, 
HC15,CCHO,mole hr^-1 gridcell^-1,Acetaldehyde,,CCHO,44.05,Acetaldehyde,MECHO,44.05,Acetaldehyde, 
HC16,RCHO,mole hr^-1 gridcell^-1,>C2 aldehydes,,RCHO,58.08,Lumped C3+ Aldehydes,RCHO,100.45,C4+ saturated aldehydes with 9 or fewer carbons, 
HC17,BALD,mole hr^-1 gridcell^-1,Benzaldehyde,,BALD,106.13,"Aromatic aldehydes (e.g., benzaldehyde)",BALD,72.06,"Aromatic aldehydes (e.g., benzaldehyde)", 
HC18,ACET,mole hr^-1 gridcell^-1,Acetone,,ACET,58.08,Acetone,ACET,58.08,Acetone, 
HC19,MEK,mole hr^-1 gridcell^-1,Methylethyl ketone,,MEK,72.11,Ketones and other non-aldehyde oxygenated products which react with OH radicals faster than 5 x 10-13 but slower than 5 x 10-12 cm3 molec-2 sec-1.,MEK,72.11,Methyl ethyl ketone, 
HC20,PROD2,mole hr^-1 gridcell^-1,PRD2 SAPRAC species (aromatic ketones),,PROD2,116.16,Ketones and other non-aldehyde oxygenated products which react with OH radicals faster 5 x 10-12 cm3 molec-2 sec-1.,,,, 
HC21,MEOH,mole hr^-1 gridcell^-1,Methanol,,MEOH,32.04,Methanol,MEOH,32.04,Methanol, 
HC22,GLY,mole hr^-1 gridcell^-1,Glyoxal,,GLY,58.04,Glyoxal,GLY,58.04,Glyoxal, 
HC23,MGLY,mole hr^-1 gridcell^-1,Methylglyoxal,,MGLY,72.07,Methyl Glyoxal,MGLY,72.06,Methyl Glyoxal and other alpha-keto aldehydes, 
HC24,BACL,mole hr^-1 gridcell^-1,Biacetyl,,BACL,86.09,Biacetyl,BACL,86.09,Biacetyl and other alpha-diketones, 
HC25,PHEN,mole hr^-1 gridcell^-1,Phenols,,PHEN,94.11,Phenol,PHEN,94.11,Phenol, 
HC26,CRES,mole hr^-1 gridcell^-1,Cresols,,CRES,108.14,Cresols,CRES,108.14,Cresols, 
HC27,METHACRO,mole hr^-1 gridcell^-1,Methacrolein,,METHACRO,70.09,Methacrolein and unsaturated aldehydes,MACR,70.09,Methacrolein, 
HC28,MVK,mole hr^-1 gridcell^-1,Methylvinyl ketone,,MVK,70.09,Methyl Vinyl Ketone and unsaturated ketones,MVK,70.09,Methyl Vinyl Ketone, 
HC29,ISOPROD,mole hr^-1 gridcell^-1,IPRD SAPRAC species (>C4 unsaturated aldehydes),,ISOPROD,100.12,Lumped isoprene product species,,,, 
HC30,HCOOH,mole hr^-1 gridcell^-1,Formic Acid,,HCOOH,46.03,Formicacid,HCOOH,46.03,Formic Acid, 
HC31,CCO_OH,mole hr^-1 gridcell^-1,Acetic Acid,,CCO_OH,60.05,Acetic Acid,,,, 
HC32,RCO_OH,mole hr^-1 gridcell^-1,>C2 Acids,,RCO_OH,74.08,Higher Carboxylic acids,,,, 
HC33,XYLENEOLS,mole hr^-1 gridcell^-1,Xylenols,,,,,XYNL,124.84,Xylenols and higher alkylphenols, 
HC34,CATECHOLS,mole hr^-1 gridcell^-1,Catechols,,,,,,,, 
